Influential 2-amod
was 17-auxpass
prepared 14-ccomp
for 17-prep
a 21-det
long 21-amod
strike 18-pobj
. 14-punct

 22-dep

After 11-prep
the 4-det
third 4-amod
week 1-pobj
on 1-prep
strike 5-pobj
, 11-punct
union 9-compound
members 11-nsubj
will 11-aux
begin 0-ROOT
receiving 11-xcomp
$ 14-nmod
100 12-dobj
a 16-det
week 14-npadvmod
from 12-prep
the 19-det
fund 17-pobj
. 11-punct

 20-dep

Work 4-nsubj
at 1-prep
Boeing 2-pobj
continues 0-ROOT
with 4-prep
supervisors 5-pobj
and 6-cc
other 12-amod
non 12-amod
- 12-amod
striking 12-amod
personnel 6-conj
manning 12-acl
the 15-det
lines 13-dobj
. 4-punct

 16-dep

And 20-cc
at 20-prep
the 4-det
company 6-poss
's 4-case
Wichita 10-nmod
, 6-punct
Kan. 10-nmod
, 8-punct
plant 2-pobj
, 20-punct
about 13-quantmod
2,400 20-nsubj
of 13-prep
the 17-det
11,700 17-nummod
machinists 14-pobj
still 20-advmod
are 20-aux
working 23-ccomp
, 23-punct
Boeing 23-nsubj
said 0-ROOT
. 23-punct

 24-dep

Under 13-prep
Kansas 1-pobj
right 8-nmod
- 3-punct
to 3-prep
- 5-punct
work 5-pobj
laws 1-pobj
, 13-punct
contracts 13-nsubj
can 13-aux
not 13-neg
require 0-ROOT
workers 13-dobj
to 16-aux
be 13-xcomp
union 18-compound
members 16-attr
. 13-punct

 19-dep

Boeing 3-nsubj
has 3-aux
declined 0-ROOT
to 5-aux
say 3-xcomp
how 7-advmod
many 8-amod
employees 10-nsubj
are 10-aux
working 5-ccomp
at 10-prep
its 18-poss
giant 18-amod
Renton 16-nmod
, 16-punct
Wash. 18-nmod
, 16-punct
plant 11-pobj
. 3-punct

 19-dep

Union 2-compound
officials 6-nsubjpass
could 6-aux
n't 6-neg
be 6-auxpass
reached 0-ROOT
for 6-prep
comment 7-pobj
. 6-punct

 9-dep

DPC 3-compound
Acquisition 3-compound
Partners 12-nsubj
, 3-punct
a 7-det
hostile 7-amod
suitor 3-appos
for 7-prep
Dataproducts 10-compound
Corp. 8-pobj
, 12-punct
said 0-ROOT
it 14-nsubj
intends 12-ccomp
to 16-aux
launch 14-xcomp
a 19-det
tender 19-compound
offer 16-dobj
for 19-prep
the 24-det
computer 23-compound
printer 24-compound
maker 27-poss
's 24-case
common 27-amod
stock 20-pobj
. 12-punct

 28-dep

DPC 16-nsubj
, 1-punct
a 4-det
group 1-appos
led 4-acl
by 5-agent
the 13-det
New 9-compound
York 11-compound
investment 11-compound
firm 13-compound
Crescott 13-compound
Inc. 6-pobj
, 16-punct
also 16-advmod
said 0-ROOT
it 18-nsubj
plans 16-ccomp
to 20-aux
file 18-xcomp
preliminary 22-amod
materials 20-dobj
with 22-prep
the 28-det
Securities 28-nmod
and 25-cc
Exchange 25-conj
Commission 23-pobj
regarding 20-prep
a 32-det
shareholder 32-compound
solicitation 29-pobj
to 34-aux
oust 32-acl
Dataproducts 37-poss
' 35-case
board 34-dobj
. 16-punct

 38-dep

DPC 2-nsubj
holds 0-ROOT
a 6-det
7.8 5-nummod
% 6-compound
stake 2-dobj
in 6-prep
Dataproducts 7-pobj
and 2-cc
made 2-conj
a 18-det
$ 13-nmod
15 18-nummod
- 13-punct
a 17-det
- 17-punct
share 13-npadvmod
bid 10-dobj
for 18-prep
the 21-det
company 19-pobj
in 10-prep
May 22-pobj
, 2-punct
but 2-cc
Dataproducts 27-compound
management 28-nsubj
considered 2-conj
the 33-det
$ 32-quantmod
283.7 32-compound
million 33-nummod
proposal 28-dobj
unacceptable 33-amod
. 28-punct

 35-dep

A 3-det
DPC 3-compound
spokesman 4-nsubj
declined 0-ROOT
to 6-aux
elaborate 4-xcomp
on 6-prep
the 9-det
group 12-poss
's 9-case
new 12-amod
plan 7-pobj
. 4-punct

 13-dep

In 11-prep
American 4-nmod
Stock 4-nmod
Exchange 6-nmod
composite 6-amod
trading 1-pobj
yesterday 11-npadvmod
, 11-punct
Dataproducts 10-compound
shares 11-nsubj
jumped 0-ROOT
62.5 13-nummod
cents 11-npadvmod
to 15-aux
close 11-xcomp
at 15-prep
$ 18-nmod
9.375 16-pobj
. 11-punct

 19-dep

Dataproducts 13-nsubj
, 1-punct
which 6-nsubj
had 6-aux
been 6-aux
seeking 1-relcl
a 8-det
buyer 6-dobj
for 6-prep
several 11-amod
months 9-pobj
, 13-punct
announced 0-ROOT
a 16-det
restructuring 16-compound
plan 13-dobj
in 13-prep
September 17-pobj
and 13-cc
took 13-conj
itself 20-dobj
off 20-prep
the 25-det
auction 25-compound
block 22-pobj
. 13-punct

 26-dep

The 2-det
company 4-poss
's 2-case
restructuring 5-nsubj
includes 0-ROOT
plans 5-dobj
to 8-aux
split 6-acl
into 8-prep
three 11-nummod
sectors 9-pobj
, 5-punct
to 14-aux
phase 5-advcl
out 14-prt
domestic 17-amod
printer 19-compound
manufacturing 19-compound
operations 14-dobj
and 14-cc
to 22-aux
sell 14-conj
its 26-poss
New 25-compound
England 26-compound
subsidiary 22-dobj
. 5-punct

 27-dep

As 8-prep
part 1-pobj
of 2-prep
the 5-det
plan 3-pobj
, 8-punct
Dataproducts 8-nsubj
announced 48-ccomp
a 10-det
pact 8-dobj
to 12-aux
sell 10-acl
$ 15-quantmod
63 15-compound
million 12-dobj
of 15-prep
its 20-poss
real 19-amod
estate 20-compound
holdings 16-pobj
to 12-prep
Trizec 24-compound
Properties 24-compound
Inc. 21-pobj
, 24-punct
a 27-det
unit 24-appos
of 27-prep
Canada 32-poss
's 29-case
Trizec 32-compound
Corp 28-pobj
. 8-punct

 33-dep
Jack 36-compound
Davis 48-nsubj
, 36-punct
Dataproducts 40-poss
' 38-case
president 36-appos
, 40-punct
chairman 40-conj
and 42-cc
chief 46-amod
executive 46-amod
officer 42-conj
, 48-punct
said 0-ROOT
the 50-det
company 53-nsubj
` 50-punct
` 50-punct
is 48-ccomp
at 53-prep
a 56-det
loss 54-pobj
to 58-aux
understand 53-xcomp
DPC 61-poss
's 59-case
intentions 58-dobj
. 48-punct
'' 48-punct

 63-dep

He 2-nsubj
called 0-ROOT
today 5-poss
's 3-case
announcement 2-dobj
` 5-punct
` 5-punct
opportunistic 5-amod
and 8-cc
disruptive 8-conj
'' 2-punct
and 2-cc
said 2-conj
the 15-det
company 16-nsubj
intends 13-ccomp
to 18-aux
proceed 16-xcomp
with 18-prep
its 21-poss
restructuring 19-pobj
. 2-punct

 22-dep

Share 2-compound
prices 3-nsubj
plummeted 0-ROOT
across 3-prep
Europe 4-pobj
yesterday 3-npadvmod
in 3-prep
response 7-pobj
to 8-prep
Friday 16-poss
's 10-case
New 13-compound
York 16-compound
sell 16-compound
- 16-punct
off 9-pobj
, 3-punct
but 3-cc
some 20-det
issues 21-nsubj
staged 3-conj
a 24-det
late 24-amod
comeback 21-dobj
after 28-mark
Wall 27-compound
Street 28-nsubj
opened 21-advcl
without 28-prep
another 31-det
rout 29-pobj
. 21-punct

 32-dep

European 2-amod
investors 3-nsubj
have 0-ROOT
further 5-amod
reason 3-dobj
for 5-prep
optimism 6-pobj
today 3-npadvmod
, 3-punct
after 13-mark
the 12-det
U.S. 13-nsubj
rebound 3-advcl
. 3-punct

 14-dep

The 4-det
Frankfurt 4-compound
Stock 4-compound
Exchange 18-nsubjpass
, 4-punct
which 7-nsubj
closed 4-relcl
before 13-mark
the 12-det
New 11-compound
York 12-compound
exchanges 13-nsubj
opened 7-advcl
, 18-punct
was 18-auxpass
the 18-det
hardest 18-advmod
hit 0-ROOT
of 18-prep
the 23-det
major 23-amod
European 23-amod
markets 19-pobj
, 18-punct
with 18-prep
the 28-det
DAX 28-compound
Index 29-nsubj
dropping 25-pcomp
12.8 31-nummod
% 29-dobj
. 18-punct

 32-dep

In 5-prep
London 1-pobj
, 5-punct
prices 5-nsubj
plummeted 0-ROOT
in 5-prep
early 8-amod
trading 6-pobj
and 5-cc
were 5-conj
off 10-advmod
as 15-advmod
much 15-amod
as 15-quantmod
9 16-nummod
% 10-npadvmod
before 10-prep
coming 17-pcomp
back 18-advmod
strong 18-advcl
after 27-mark
the 25-det
New 24-compound
York 25-compound
opening 21-pobj
to 27-aux
close 18-advcl
down 27-prt
only 30-advmod
3.2 31-nummod
% 27-npadvmod
. 5-punct

 32-dep

West 2-amod
German 4-amod
Economics 4-compound
Minister 6-compound
Helmut 6-compound
Haussmann 7-nsubj
said 0-ROOT
, 7-punct
` 7-punct
` 7-punct
In 19-prep
my 13-poss
view 11-pobj
, 19-punct
the 17-det
stock 17-compound
market 19-nsubj
will 19-aux
stabilize 7-ccomp
relatively 21-advmod
quickly 19-advmod
. 7-punct

 22-dep

There 3-expl
may 3-aux
be 0-ROOT
one 10-nummod
or 4-cc
other 10-amod
psychological 10-amod
or 7-cc
technical 7-conj
reactions 3-attr
, 3-punct
but 3-cc
they 16-nsubjpass
are 16-auxpass
n't 16-neg
based 3-conj
on 16-prep
fundamentals 17-pobj
. 16-punct

 19-dep

The 2-det
economy 13-nsubj
of 2-prep
West 5-compound
Germany 3-pobj
and 5-cc
the 11-det
EC 11-nmod
-LCB- 8-punct
European 11-compound
Community 5-conj
-RCB- 2-punct
is 0-ROOT
highly 15-advmod
stable 13-acomp
. 13-punct

'' 0-ROOT

 1-dep

Paris 18-nsubjpass
, 1-punct
which 5-nsubj
has 5-aux
been 1-relcl
the 7-det
center 5-attr
of 7-prep
speculation 10-compound
fever 8-pobj
in 5-prep
recent 13-amod
weeks 11-pobj
, 16-punct
also 16-advmod
was 18-auxpass
hard 18-advmod
hit 0-ROOT
. 18-punct

 19-dep

Share 2-compound
prices 3-nsubj
fell 0-ROOT
in 3-prep
Milan 4-pobj
, 5-punct
Amsterdam 5-conj
, 7-punct
Zurich 7-conj
, 9-punct
Madrid 9-conj
and 11-cc
Stockholm 11-conj
. 3-punct

 14-dep

Prices 13-nsubj
in 1-prep
Brussels 2-pobj
, 3-punct
where 9-advmod
a 8-det
computer 8-compound
breakdown 9-nsubj
disrupted 3-relcl
trading 9-dobj
, 13-punct
also 13-advmod
tumbled 0-ROOT
. 13-punct

 14-dep

Following 2-acomp
is 11-ccomp
a 4-det
breakdown 2-attr
of 4-prep
major 8-amod
market 8-compound
activity 5-pobj
: 11-punct

 9-dep
FRANKFURT 0-ROOT
: 11-punct

 12-dep
One 19-nsubj
of 14-prep
the 18-det
sharpest 18-amod
declines 15-pobj
came 11-acl
in 19-prep
the 23-det
financial 23-amod
center 20-pobj
of 23-prep
Europe 28-poss
's 25-case
strongest 28-amod
economy 24-pobj
. 11-punct

 29-dep

The 3-det
DAX 3-compound
Index 10-nsubj
of 3-prep
30 9-nummod
West 7-amod
German 9-amod
blue 9-amod
chips 4-pobj
plunged 0-ROOT
12.8 12-nummod
% 10-npadvmod
, 10-punct
a 18-det
one 17-nummod
- 17-punct
day 18-compound
record 10-npadvmod
, 10-punct
wiping 10-advcl
out 20-prt
the 23-det
summer 25-poss
's 23-case
gains 20-dobj
. 10-punct

 26-dep

The 2-det
index 3-nsubj
closed 0-ROOT
at 3-prep
1385.72 4-pobj
, 3-punct
down 3-advmod
203.56 9-nummod
points 7-npadvmod
. 3-punct

 10-dep

By 16-prep
comparison 1-pobj
, 16-punct
two 5-nummod
years 6-npadvmod
ago 16-advmod
on 16-prep
Black 9-compound
Monday 7-pobj
, 16-punct
the 13-det
new 13-amod
index 16-nsubj
would 16-aux
have 16-aux
dropped 0-ROOT
9.4 18-nummod
% 16-npadvmod
, 16-punct
according 16-prep
to 20-prep
a 23-det
projection 21-pobj
by 23-prep
the 26-det
exchange 24-pobj
. 16-punct

 27-dep

Investors 4-nsubj
may 4-aux
have 4-aux
reacted 0-ROOT
so 6-advmod
strongly 4-advmod
to 4-prep
Friday 13-poss
's 8-case
U.S. 13-compound
stock 12-compound
market 13-compound
loss 7-pobj
because 16-mark
they 16-nsubj
had 4-advcl
vivid 18-amod
memories 16-dobj
of 18-prep
the 22-det
Frankfurt 22-compound
exchange 19-pobj
's 24-aux
losing 16-ccomp
35 26-nummod
% 24-dobj
of 26-prep
its 29-poss
value 27-pobj
in 24-prep
the 33-det
1987 33-nummod
crash 30-pobj
and 33-cc
its 36-poss
wake 33-conj
. 4-punct

 37-dep

This 2-det
time 12-npadvmod
, 12-punct
however 12-advmod
, 12-punct
many 8-amod
small 8-amod
investors 12-nsubjpass
may 12-aux
have 12-aux
been 12-auxpass
hurt 0-ROOT
by 12-agent
acting 13-pcomp
so 16-advmod
swiftly 14-advmod
. 12-punct

 17-dep

` 5-punct
` 5-punct
They 5-nsubj
all 3-appos
went 12-ccomp
in 5-prep
the 9-det
wrong 9-amod
direction 6-pobj
, 12-punct
'' 12-punct
said 0-ROOT
Andreas 14-compound
Insam 12-nsubj
, 14-punct
an 18-det
investment 18-compound
adviser 14-appos
for 18-prep
the 21-det
Bank 19-pobj
in 21-prep
Liechtenstein 26-poss
's 23-case
Frankfurt 26-compound
branch 22-pobj
. 12-punct

 27-dep

He 2-nsubj
said 0-ROOT
he 4-nsubj
told 2-ccomp
clients 4-dobj
to 7-aux
buy 4-xcomp
selected 12-amod
West 10-amod
German 12-amod
blue 12-amod
chips 7-dobj
after 15-mark
they 15-nsubj
fell 7-advcl
by 15-prep
about 18-advmod
10 19-nummod
% 16-pobj
. 2-punct

 20-dep

After 5-mark
the 3-det
opening 5-nsubjpass
was 5-auxpass
delayed 25-advcl
30 7-nummod
minutes 5-npadvmod
because 5-prep
of 8-pcomp
the 11-det
crush 8-pobj
of 11-prep
sell 14-compound
orders 12-pobj
, 25-punct
Frankfurt 23-poss
's 16-case
normal 23-amod
two 21-nummod
- 21-punct
hour 23-compound
trading 23-compound
session 25-nsubjpass
was 25-auxpass
extended 0-ROOT
75 27-nummod
minutes 25-npadvmod
to 29-aux
handle 25-advcl
the 32-det
heavy 32-amod
volume 29-dobj
. 25-punct

 33-dep

` 5-punct
` 5-punct
The 4-det
beginning 5-nsubj
was 9-ccomp
chaotic 5-acomp
, 9-punct
'' 9-punct
said 0-ROOT
Nigel 11-compound
Longley 9-nsubj
, 11-punct
a 14-det
broker 11-appos
for 14-prep
Commerzbank 17-compound
AG 15-pobj
. 9-punct

 18-dep

` 4-punct
` 4-punct
It 4-nsubj
took 0-ROOT
three 7-nummod
- 7-punct
quarters 4-dobj
of 7-prep
an 10-det
hour 8-pobj
before 16-mark
enough 13-amod
prices 16-nsubjpass
could 16-aux
be 16-auxpass
worked 4-advcl
out 16-prt
to 19-aux
get 16-advcl
a 21-det
reading 19-dobj
on 21-prep
the 24-det
market 22-pobj
. 4-punct

'' 0-ROOT

 1-dep

Institutional 2-amod
investors 21-nsubj
and 2-cc
bankers 2-conj
, 2-punct
many 9-nsubj
of 6-prep
whom 7-pobj
spent 2-relcl
the 11-det
night 9-dobj
before 9-advmod
in 9-prep
their 15-poss
offices 13-pobj
watching 15-acl
Far 18-amod
Eastern 19-amod
markets 16-dobj
, 21-punct
were 0-ROOT
cautiously 23-advmod
optimistic 21-acomp
after 21-prep
the 29-det
mild 29-amod
1.8 28-nummod
% 29-compound
decline 24-pobj
in 29-prep
Tokyo 33-compound
stock 33-compound
prices 30-pobj
. 21-punct

 34-dep

` 4-punct
` 4-punct
Everybody 4-nsubj
was 0-ROOT
still 4-advmod
confident 4-acomp
, 4-punct
including 4-prep
most 11-amod
institutional 11-amod
investors 8-pobj
. 4-punct

 12-dep

That 2-nsubj
is 21-ccomp
why 5-advmod
everybody 5-nsubj
was 2-ccomp
a 7-det
little 8-amod
surprised 5-acomp
by 8-prep
the 11-det
storm 9-pobj
of 11-prep
sell 14-compound
orders 12-pobj
from 14-prep
small 18-amod
private 18-amod
investors 15-pobj
, 21-punct
'' 21-punct
said 0-ROOT
Norbert 23-compound
Braeuer 21-nsubj
, 23-punct
a 27-det
senior 27-amod
trader 23-appos
for 27-prep
Hessische 30-compound
Landesbank 28-pobj
. 21-punct

 31-dep

Some 3-det
big 3-amod
institutions 8-nsubj
, 3-punct
including 3-prep
banks 5-pobj
, 8-punct
began 0-ROOT
picking 8-xcomp
up 9-prt
lower 13-advmod
- 13-punct
priced 14-amod
shares 9-dobj
late 16-amod
yesterday 9-npadvmod
, 8-punct
but 8-cc
most 20-amod
investors 21-nsubj
wanted 8-conj
to 23-aux
see 21-xcomp
what 26-nsubj
would 26-aux
happen 23-ccomp
in 26-prep
New 29-compound
York 27-pobj
before 26-prep
acting 30-pcomp
. 21-punct

 32-dep

But 12-cc
even 6-advmod
if 6-mark
Wall 5-compound
Street 6-nsubj
continues 12-advcl
to 8-aux
stabilize 6-xcomp
, 12-punct
analysts 12-nsubj
here 10-advmod
say 0-ROOT
the 15-det
latest 15-amod
blow 20-nsubj
to 15-prep
investor 18-compound
confidence 16-pobj
could 20-aux
inhibit 12-ccomp
a 23-det
swift 23-amod
recovery 20-dobj
for 23-prep
the 27-det
Frankfurt 27-compound
exchange 24-pobj
, 27-punct
which 32-nsubj
already 32-advmod
was 32-aux
showing 27-relcl
signs 32-dobj
of 33-prep
weakness 34-pobj
after 40-mark
the 38-det
DAX 40-nsubj
had 40-aux
slipped 32-advcl
from 40-prep
a 44-det
1989 44-nummod
high 41-pobj
of 44-prep
1657.61 45-pobj
on 40-prep
Sept. 47-pobj
8 48-nummod
. 12-punct

 50-dep
Some 59-nsubj
of 52-prep
West 55-compound
Germany 58-poss
's 55-case
bluest 58-amod
chips 53-pobj
took 12-ccomp
some 59-dobj
of 60-prep
the 64-det
biggest 64-amod
hits 61-pobj
. 12-punct

 65-dep

A 4-det
16.3 3-nummod
% 4-compound
drop 16-nsubj
for 4-prep
Mannesmann 7-compound
AG 5-pobj
and 7-cc
Dresdner 11-compound
Bank 11-compound
AG 15-poss
's 11-case
9.6 14-nummod
% 15-compound
decline 7-conj
were 0-ROOT
especially 18-advmod
problematic 16-acomp
for 18-prep
their 22-poss
respective 22-amod
boards 19-pobj
, 22-punct
whose 25-poss
plans 34-nsubj
for 25-prep
major 29-amod
rights 29-compound
issues 26-pobj
in 25-prep
November 30-pobj
could 34-aux
now 34-advmod
be 4-relcl
in 34-prep
jeopardy 35-pobj
. 16-punct

 37-dep

Dresdner 2-compound
Bank 5-nsubj
last 4-amod
month 5-npadvmod
said 0-ROOT
it 7-nsubj
hoped 5-ccomp
to 9-aux
raise 7-xcomp
1.2 11-compound
billion 12-nummod
marks 9-dobj
-LRB- 12-punct
$ 16-quantmod
642.2 16-compound
million 17-nummod
-RRB- 12-appos
by 9-prep
issuing 18-pcomp
four 21-compound
million 22-nummod
shares 19-dobj
at 19-prep
300 25-nummod
marks 23-pobj
each 25-npadvmod
. 5-punct

 27-dep

Yet 5-advmod
yesterday 4-poss
's 2-case
market 5-nsubj
cropped 0-ROOT
Dresdner 9-poss
's 6-case
share 9-compound
price 5-dobj
by 5-prep
33 12-nummod
marks 10-pobj
to 5-prep
309 15-nummod
marks 13-pobj
a 17-det
share 15-npadvmod
, 5-punct
leaving 5-advcl
little 21-amod
incentive 19-dobj
for 25-mark
investors 25-nsubj
to 25-aux
subscribe 21-advcl
to 25-prep
the 29-det
standing 29-compound
price 26-pobj
unless 33-mark
the 32-det
market 33-nsubj
recovers 25-advcl
quickly 33-advmod
. 5-punct

 35-dep

LONDON 16-nsubj
: 1-punct

 2-dep
Headed 16-advcl
toward 4-prep
a 8-det
record 8-compound
drop 5-pobj
at 8-prep
midday 9-pobj
, 16-punct
the 15-det
London 15-compound
stock 15-compound
market 16-nsubj
recouped 0-ROOT
two 19-nummod
- 19-punct
thirds 16-dobj
of 19-prep
its 22-poss
losses 20-pobj
in 22-prep
the 25-det
wake 23-pobj
of 25-prep
New 28-compound
York 31-poss
's 28-case
early 31-amod
rally 26-pobj
. 16-punct

 32-dep

The 9-det
Financial 3-compound
Times 6-nmod
- 6-punct
Stock 6-compound
Exchange 9-nmod
100 8-nummod
Share 9-compound
Index 10-nsubj
closed 0-ROOT
off 10-prt
70.5 13-nummod
points 11-npadvmod
, 10-punct
at 10-prep
2163.4 15-pobj
, 16-punct
its 19-poss
high 10-dep
for 19-prep
the 22-det
day 20-pobj
, 10-punct
after 10-prep
having 26-aux
plunged 24-pcomp
204.2 28-nummod
points 26-npadvmod
at 26-prep
12:49 31-nummod
p.m 29-pobj
. 10-punct

 32-dep

It 2-nsubj
was 0-ROOT
big 4-amod
institutions 2-attr
such 6-amod
as 4-prep
Norwich 10-compound
Union 10-compound
Insurance 10-compound
Group 6-pobj
, 10-punct
Scottish 15-compound
Amicable 15-compound
Investment 15-compound
Managers 10-conj
and 15-cc
Standard 20-compound
Life 20-compound
Assurance 20-compound
Co. 15-conj
that 22-nsubj
spearheaded 4-relcl
the 24-det
rally 22-dobj
. 2-punct

 25-dep

Attracted 14-advcl
by 1-agent
low 4-amod
prices 2-pobj
and 1-cc
encouraged 1-conj
by 6-agent
New 9-compound
York 11-poss
's 9-case
performance 7-pobj
, 14-punct
they 14-nsubj
scooped 0-ROOT
up 14-prt
equities 14-dobj
across 14-prep
the 19-det
board 17-pobj
. 14-punct

 20-dep

Volume 2-nsubj
was 0-ROOT
959.3 4-compound
million 5-nummod
shares 2-attr
, 5-punct
more 5-amod
than 7-prep
triple 11-amod
recent 11-amod
levels 8-pobj
. 2-punct

 12-dep

PARIS 6-dep
: 6-punct

 2-dep
Late 5-amod
buying 6-nsubj
gave 0-ROOT
the 9-det
Paris 9-compound
Bourse 6-dative
a 11-det
parachute 6-dobj
after 6-prep
its 15-poss
free 15-amod
fall 12-pobj
early 17-advmod
in 15-prep
the 19-det
day 17-pobj
. 6-punct

 20-dep

The 4-det
CAC 3-compound
General 4-compound
Index 5-nsubj
ended 0-ROOT
down 5-advmod
5.4 8-nummod
% 6-npadvmod
at 5-prep
523.6 9-pobj
, 5-punct
a 13-det
drop 5-dobj
of 13-prep
29.6 16-nummod
points 14-pobj
from 13-prep
Friday 17-pobj
. 5-punct

 19-dep

` 4-punct
` 4-punct
There 4-expl
was 18-ccomp
a 6-det
volatility 4-attr
in 6-prep
the 9-det
market 7-pobj
that 14-dobj
I 14-nsubj
have 14-aux
never 14-neg
seen 9-relcl
before 14-advmod
, 18-punct
'' 18-punct
said 0-ROOT
Michel 20-compound
Vigier 18-nsubj
, 20-punct
a 23-det
partner 20-appos
in 23-prep
brokerage 26-compound
firm 28-compound
Cholet 28-compound
Dupont 24-pobj
. 18-punct

 29-dep

` 14-punct
` 14-punct
When 6-advmod
Wall 5-compound
Street 6-nsubj
turned 14-advcl
around 6-prt
shortly 9-advmod
after 6-prep
the 11-det
opening 9-pobj
, 14-punct
there 14-expl
was 0-ROOT
panic 16-compound
buying 14-attr
in 16-prep
Paris 17-pobj
. 14-punct

'' 0-ROOT

 1-dep

Brokers 2-nsubj
said 0-ROOT
that 23-mark
as 7-mark
the 6-det
news 7-nsubj
spread 23-advcl
that 12-mark
Wall 10-compound
Street 12-nsubj
was 12-aux
moving 7-ccomp
up 12-prt
, 23-punct
traders 23-nsubj
who 18-nsubj
had 18-aux
called 15-relcl
to 20-aux
place 18-xcomp
sell 22-compound
orders 20-dobj
changed 2-ccomp
their 25-poss
line 23-dobj
in 23-prep
mid 26-pobj
- 26-pobj
conversation 26-pobj
, 23-punct
ordering 23-advcl
buys 31-dobj
instead 32-advmod
. 2-punct

 34-dep

Trading 3-nsubjpass
was 3-auxpass
driven 0-ROOT
primarily 5-advmod
by 3-agent
small 7-amod
investors 5-pobj
and 7-cc
speculators 7-conj
, 3-punct
with 3-prep
large 13-amod
institutions 14-nsubj
waiting 11-pcomp
on 14-prep
the 17-det
sidelines 15-pobj
until 14-prep
late 18-pcomp
in 19-prep
the 22-det
day 20-pobj
. 3-punct

 23-dep

When 4-advmod
Wall 3-compound
Street 4-nsubj
turned 11-advcl
, 4-punct
however 11-advmod
, 11-punct
the 10-det
big 10-amod
boys 11-nsubj
entered 0-ROOT
the 13-det
market 11-dobj
, 11-punct
looking 11-advcl
for 15-prep
bargains 16-pobj
. 11-punct

 18-dep

J.P. 2-compound
Morgan 5-nsubj
& 2-cc
Co. 2-conj
swung 0-ROOT
to 5-prep
a 8-det
loss 6-pobj
in 5-prep
the 12-det
third 12-amod
quarter 9-pobj
, 5-punct
while 17-mark
NCNB 16-compound
Corp. 17-nsubj
reported 29-advcl
net 19-amod
income 22-nsubj
more 22-advmod
than 20-advmod
doubled 17-ccomp
, 22-punct
and 22-cc
Security 27-compound
Pacific 27-compound
Corp. 28-compound
net 29-nsubj
rose 5-conj
10 31-nummod
% 29-npadvmod
. 29-punct

 32-dep

J.P. 2-compound
Morgan 0-ROOT
& 2-cc
Co 2-conj
. 2-punct

 5-dep

J.P. 2-compound
Morgan 7-nsubj
, 7-punct
as 5-mark
expected 7-advcl
, 7-punct
posted 0-ROOT
a 13-det
$ 11-quantmod
1.82 11-compound
billion 13-nummod
net 13-amod
loss 7-dobj
for 7-prep
the 16-det
quarter 14-pobj
, 7-punct
reflecting 7-advcl
the 22-det
New 21-compound
York 22-compound
bank 24-poss
's 22-case
decision 18-dobj
last 26-amod
month 18-npadvmod
to 28-aux
add 18-advcl
$ 31-quantmod
2 31-compound
billion 28-dobj
to 28-prep
reserves 32-pobj
for 28-prep
losses 34-pobj
on 35-prep
loans 36-pobj
to 37-prep
less 41-advmod
- 41-punct
developed 42-amod
countries 38-pobj
. 7-punct

 43-dep

The 3-det
reserve 3-compound
addition 4-nsubj
placed 0-ROOT
the 6-det
parent 4-dobj
of 6-prep
Morgan 11-compound
Guaranty 11-compound
Trust 11-compound
Co. 7-pobj
among 4-prep
a 17-det
few 17-amod
major 17-amod
U.S. 17-compound
banks 12-pobj
that 20-nsubj
have 20-aux
covered 17-relcl
nearly 22-advmod
all 29-nummod
their 29-poss
medium 28-amod
and 24-cc
long 24-conj
- 28-punct
term 29-compound
portfolios 20-dobj
to 20-prep
less 33-advmod
- 33-punct
developed 34-amod
countries 30-pobj
with 20-prep
reserves 35-pobj
. 4-punct

 37-dep

The 3-det
latest 3-amod
quarter 5-poss
's 3-case
loss 6-nsubj
equals 0-ROOT
$ 8-nmod
9.92 6-dobj
a 10-det
share 8-npadvmod
. 6-punct

 11-dep

In 9-prep
the 6-det
year 5-npadvmod
- 5-punct
earlier 6-amod
quarter 1-pobj
, 9-punct
Morgan 9-nsubj
earned 0-ROOT
$ 12-quantmod
233.6 12-compound
million 9-dobj
, 12-punct
or 12-cc
$ 16-nmod
1.25 12-conj
a 18-det
share 16-npadvmod
. 9-punct

 19-dep

George 3-compound
M. 3-compound
Salem 13-nsubj
, 3-punct
analyst 3-appos
at 5-prep
Prudential 11-compound
- 11-punct
Bache 11-compound
Securities 11-compound
Inc. 6-pobj
, 13-punct
called 0-ROOT
the 15-det
results 13-dobj
` 13-punct
` 13-punct
mildly 19-advmod
disappointing 13-oprd
. 13-punct
'' 13-punct

 21-dep

Excluding 16-prep
the 6-det
$ 5-quantmod
2 5-compound
billion 6-nummod
provision 1-dobj
and 1-cc
allowing 1-conj
for 8-prep
the 11-det
taxes 9-pobj
Morgan 13-nsubj
paid 11-relcl
, 16-punct
earnings 16-nsubj
were 25-ccomp
about 18-advmod
65 19-nummod
cents 16-attr
a 21-det
share 19-npadvmod
, 25-punct
Mr. 24-compound
Salem 25-nsubj
said 0-ROOT
. 25-punct

 26-dep

In 11-prep
New 3-compound
York 5-nmod
Stock 5-nmod
Exchange 7-nmod
composite 7-amod
trading 1-pobj
yesterday 11-npadvmod
, 11-punct
Morgan 11-nsubj
